depth,n_trees,rmse
3,30_trees,7560.728284866935
5,30_trees,5923.6516044320015
7,30_trees,5138.504571647847
10,30_trees,4801.816611539073
15,30_trees,4331.363734602274
3,50_trees,7441.549440151921
5,50_trees,5720.5314051507385
7,50_trees,4938.845275597443
10,50_trees,4441.320671144107
15,50_trees,4078.465492521486
3,70_trees,7479.692803380329
5,70_trees,5710.631142222698
7,70_trees,4911.540588971195
10,70_trees,4422.481105653398
15,70_trees,4074.076299482006
3,100_trees,7475.21
5,100_trees,5770.29
7,100_trees,4949.2
10,100_trees,4429.3
15,100_trees,4097.29
